STATEFIP,YEAR,QUARTER,industry,emp_weighted,total_emp,emp_share
25,2019,1,Financial activities,825830.3489,10966870.4667,0.07530227984433352
25,2019,1,Government,408892.6855,10966870.4667,0.03728435443288666
25,2019,1,Information,103128.1844,10966870.4667,0.009403611058700861
25,2019,1,Leisure and hospitality,199691.5166,10966870.4667,0.018208614500038717
25,2019,1,Manufacturing - Durable goods,557106.4379,10966870.4667,0.050799035111393706
25,2019,1,Manufacturing - Nondurable goods,328470.1866,10966870.4667,0.029951132148170502
25,2019,1,Other services,322649.0773,10966870.4667,0.029420341772039466
25,2019,1,Professional and business services,2046172.4758,10966870.4667,0.1865776095389322
25,2019,1,Retail trade,1788027.3222999999,10966870.4667,0.16303897522353325
25,2019,1,Transportation and warehousing,379649.8938,10966870.4667,0.03461788802491793
25,2019,1,Utilities,71242.8106,10966870.4667,0.006496184195511648
25,2019,1,Wholesale trade,213505.8535,10966870.4667,0.019468257070081475
25,2019,2,Construction,730989.5826,11098072.363499999,0.06586635576499951
25,2019,2,Education and health services,2977008.4998,11098072.363499999,0.26824554772150905
25,2019,2,Financial activities,876527.4118,11098072.363499999,0.07898014926292746
25,2019,2,Government,341588.1004,11098072.363499999,0.030779047857304957
25,2019,2,Information,107521.4001,11098072.363499999,0.009688295100113311
25,2019,2,Leisure and hospitality,223667.9488,11098072.363499999,0.020153765579652597
25,2019,2,Manufacturing - Durable goods,657890.4349,11098072.363499999,0.05927970311886857
25,2019,2,Manufacturing - Nondurable goods,275461.255,11098072.363499999,0.02482063965504076
25,2019,2,Other services,276175.1566,11098072.363499999,0.024884966285523717
25,2019,2,Professional and business services,2127874.7715,11098072.363499999,0.19173372652518297
25,2019,2,Retail trade,1710005.4366,11098072.363499999,0.15408130174245102
25,2019,2,Transportation and warehousing,401544.6641,11098072.363499999,0.0361814782737067
25,2019,2,Utilities,111477.0644,11098072.363499999,0.010044723150898925
25,2019,2,Wholesale trade,280340.6369,11098072.363499999,0.025260299961820484
25,2019,3,Construction,731010.719,11086672.4675,0.06593598946328755
25,2019,3,Education and health services,2715859.639,11086672.4675,0.24496616518269124
25,2019,3,Financial activities,791427.51,11086672.4675,0.07138548670216681
25,2019,3,Government,383281.3425,11086672.4675,0.03457135976764618
25,2019,3,Information,96605.4773,11086672.4675,0.008713658456420888
25,2019,3,Leisure and hospitality,230811.0467,11086672.4675,0.020818784660285628
25,2019,3,Manufacturing - Durable goods,696240.647,11086672.4675,0.06279978497073789
25,2019,3,Manufacturing - Nondurable goods,316007.9296,11086672.4675,0.028503406276893333
25,2019,3,Mining and logging,13050.2653,11086672.4675,0.001177112910862675
25,2019,3,Other services,323553.9353,11086672.4675,0.02918404383718212
25,2019,3,Professional and business services,2218891.8112,11086672.4675,0.2001404675482716
25,2019,3,Retail trade,1896290.1784,11086672.4675,0.17104231986277899
25,2019,3,Transportation and warehousing,388107.5823,11086672.4675,0.03500667882430162
25,2019,3,Utilities,100486.192,11086672.4675,0.009063692671950941
25,2019,3,Wholesale trade,185048.1919,11086672.4675,0.016691048864522617
25,2019,4,Construction,742101.9187,11164386.0041,0.0664704640655985
25,2019,4,Education and health services,3042751.9902,11164386.0041,0.2725409161849637
25,2019,4,Financial activities,797344.4527,11164386.0041,0.07141856725548398
25,2019,4,Government,444028.9069,11164386.0041,0.0397719056593829
25,2019,4,Information,59084.8984,11164386.0041,0.005292265815451177
25,2019,4,Leisure and hospitality,229256.2573,11164386.0041,0.02053460505717091
25,2019,4,Manufacturing - Durable goods,594932.2447,11164386.0041,0.05328839798995821
25,2019,4,Manufacturing - Nondurable goods,315899.7634,11164386.0041,0.02829531004069451
25,2019,4,Mining and logging,11568.9905,11164386.0041,0.0010362406401705757
25,2019,4,Other services,297029.7782,11164386.0041,0.026605115417087783
25,2019,4,Professional and business services,2122144.7593,11164386.0041,0.19008163624230345
25,2019,4,Retail trade,1865013.4439,11164386.0041,0.1670502473862059
25,2019,4,Transportation and warehousing,358944.8824,11164386.0041,0.03215088427327588
25,2019,4,Utilities,74299.9716,11164386.0041,0.006655088024788299
25,2019,4,Wholesale trade,209983.7459,11164386.0041,0.018808355947464172
25,2020,1,Construction,662125.8261,10678744.1355,0.06200409127688102
25,2020,1,Education and health services,2877492.8345,10678744.1355,0.26945985389182375
25,2020,1,Financial activities,826378.5065,10678744.1355,0.0773853644224717
25,2020,1,Government,355904.5284,10678744.1355,0.033328313131583034
25,2020,1,Information,93693.563,10678744.1355,0.008773837242576939
25,2020,1,Leisure and hospitality,219585.8159,10678744.1355,0.0205628876498705
25,2020,1,Manufacturing - Durable goods,536611.281,10678744.1355,0.05025041092763992
25,2020,1,Manufacturing - Nondurable goods,395973.7717,10678744.1355,0.03708055616611697
25,2020,1,Mining and logging,3430.3996,10678744.1355,0.00032123623868804136
25,2020,1,Other services,311909.0315,10678744.1355,0.029208400121049978
25,2020,1,Professional and business services,2061173.1405,10678744.1355,0.19301643660961182
25,2020,1,Retail trade,1698080.447,10678744.1355,0.15901499515799497
25,2020,1,Transportation and warehousing,380087.895,10678744.1355,0.03559293959824832
25,2020,1,Utilities,90346.066,10678744.1355,0.008460364332511449
25,2020,1,Wholesale trade,165951.0288,10678744.1355,0.015540313232931471
25,2020,2,Construction,587064.0643,8670264.9028,0.06771004933314227
25,2020,2,Education and health services,2247204.2464,8670264.9028,0.25918518887171277
25,2020,2,Financial activities,812547.7235,8670264.9028,0.09371659719850008
25,2020,2,Government,319887.2732,8670264.9028,0.03689475198118742
25,2020,2,Information,79547.0026,8670264.9028,0.009174691141710201
25,2020,2,Leisure and hospitality,134685.6856,8670264.9028,0.01553420652193732
25,2020,2,Manufacturing - Durable goods,526121.9117,8670264.9028,0.06068118074801761
25,2020,2,Manufacturing - Nondurable goods,289771.4839,8670264.9028,0.0334212953293296
25,2020,2,Mining and logging,3143.52,8670264.9028,0.00036256331671997966
25,2020,2,Other services,156817.9708,8670264.9028,0.018086871918914126
25,2020,2,Professional and business services,1967812.4272,8670264.9028,0.22696105012483636
25,2020,2,Retail trade,1066609.3856,8670264.9028,0.12301923846127771
25,2020,2,Transportation and warehousing,205014.2321,8670264.9028,0.0236456710836819
25,2020,2,Utilities,109718.1726,8670264.9028,0.012654535222397567
25,2020,2,Wholesale trade,164319.8033,8670264.9028,0.018952108746635193
25,2020,3,Construction,632965.0027,9962161.6775,0.06353691329157812
25,2020,3,Education and health services,2544625.0009,9962161.6775,0.2554290005799798
25,2020,3,Financial activities,719297.3779,9962161.6775,0.07220294160900502
25,2020,3,Government,440597.9424,9962161.6775,0.044227142327464
25,2020,3,Information,50353.2052,9962161.6775,0.005054445694625196
25,2020,3,Leisure and hospitality,166584.6104,9962161.6775,0.016721733273636685
25,2020,3,Manufacturing - Durable goods,514186.1056,9962161.6775,0.05161390893316989
25,2020,3,Manufacturing - Nondurable goods,362179.0677,9962161.6775,0.03635546976897575
25,2020,3,Mining and logging,2963.1598,9962161.6775,0.00029744144854549313
25,2020,3,Other services,275188.0228,9962161.6775,0.027623324305358823
25,2020,3,Professional and business services,1934344.7841999999,9962161.6775,0.19416918203293232
25,2020,3,Retail trade,1623572.0986,9962161.6775,0.16297387566665497
25,2020,3,Transportation and warehousing,292872.7934,9962161.6775,0.02939851840203183
25,2020,3,Utilities,114450.7857,9962161.6775,0.01148854931339775
25,2020,3,Wholesale trade,287981.7202,9962161.6775,0.02890755335264433
25,2020,4,Construction,637326.4394,10240128.7406,0.06223812761973706
25,2020,4,Education and health services,2765089.2717,10240128.7406,0.2700248543494371
25,2020,4,Financial activities,791329.6032,10240128.7406,0.07727731000710385
25,2020,4,Government,433155.11,10240128.7406,0.04229977190449074
25,2020,4,Information,67944.4491,10240128.7406,0.006635116688583637
25,2020,4,Leisure and hospitality,122190.8012,10240128.7406,0.011932545409857854
25,2020,4,Manufacturing - Durable goods,561954.3266,10240128.7406,0.05487766226726887
25,2020,4,Manufacturing - Nondurable goods,430034.0183,10240128.7406,0.041994981625084825
25,2020,4,Mining and logging,2549.564,10240128.7406,0.00024897772914626593
25,2020,4,Other services,234069.296,10240128.7406,0.02285804230878109
25,2020,4,Professional and business services,2048126.8019,10240128.7406,0.20000986840913432
25,2020,4,Retail trade,1472614.079,10240128.7406,0.14380816064952276
25,2020,4,Transportation and warehousing,327699.2511,10240128.7406,0.03200147765728179
25,2020,4,Utilities,193057.896,10240128.7406,0.0188530731293021
25,2020,4,Wholesale trade,152987.8331,10240128.7406,0.014940030245267794
25,2021,1,Construction,615773.7,10235168.0351,0.06016253938267499
25,2021,1,Education and health services,2818909.7522,10235168.0351,0.27541411558002415
25,2021,1,Financial activities,817143.8645,10235168.0351,0.07983687827085258
25,2021,1,Government,442165.6839,10235168.0351,0.043200627716482816
25,2021,1,Information,84453.8857,10235168.0351,0.008251343349750376
25,2021,1,Leisure and hospitality,132830.8938,10235168.0351,0.012977890870425968
25,2021,1,Manufacturing - Durable goods,607526.198,10235168.0351,0.059356739031208715
25,2021,1,Manufacturing - Nondurable goods,364874.2573,10235168.0351,0.03564907347380302
25,2021,1,Mining and logging,2613.2209,10235168.0351,0.0002553178307418446
25,2021,1,Other services,234079.1262,10235168.0351,0.022870081409241173
25,2021,1,Professional and business services,2240207.6555,10235168.0351,0.2188735590678666
