OCC2010,abstract,routine,manual,rti
5230,3.14,2.83,1.755,-0.6664149451828447
5240,3.4066666666666663,2.925,2.92,-1.2240234317038192
5250,3.44,2.76,2.27,-1.0400206231495597
5260,3.68,2.945,2.425,-1.1086354594667365
5300,2.9599999999999995,2.665,2.5,-1.021275942592316
5310,3.6466666666666665,3.28,2.485,-1.016242745478265
5320,2.873333333333333,2.595,2.285,-0.928252303735808
5330,3.583333333333333,2.91,1.945,-0.8734023617925709
5340,2.45,2.765,2.35,-0.733462717738405
5350,3.43,2.54,1.86,-0.9209726678725132
5360,3.2466666666666666,2.745,1.935,-0.8279550805065852
5400,2.5666666666666664,2.605,2.49,-0.8974580754628144
5410,3.2433333333333336,3.77,2.595,-0.8031131226877366
5420,3.13,2.90125,2.243125,-0.8751073844093373
5500,3.4916666666666667,2.7824999999999998,2.8875,-1.2850419157163455
5510,2.33,2.46,3.81,-1.2833361067719475
5520,3.353333333333333,3.29,3.06,-1.130573555872934
5530,2.7133333333333334,3.51,4.300000000000001,-1.201176876568082
5540,2.98,2.865,3.04,-1.1512124657687404
5550,1.7766666666666666,2.695,4.195,-1.0172340850678523
5560,2.41,3.795,3.375,-0.7623376609794636
5600,3.28,3.435,2.38,-0.8209269844051229
5610,2.936666666666667,3.725,3.26,-0.9439354948270716
5620,2.91969696969697,3.148181818181818,3.295909090909092,-1.0919446015969854
5630,3.263333333333333,3.985,3.535,-1.062925154980667
5700,3.188333333333333,2.77,2.31,-0.9729586105796352
5800,2.862916666666667,3.064375,2.4487500000000004,-0.8175151404192484
5810,3.2,3.33,2.255,-0.77332847876797
5820,2.6933333333333334,3.0700000000000003,2.095,-0.6086555756398893
5830,3.556666666666666,2.355,2.53,-1.3405023519166002
5840,2.8766666666666665,3.0500000000000003,2.02,-0.6445881372210199
5850,2.52,3.83,3.465,-0.8241067309726436
5860,2.6166666666666667,2.835,2.435,-0.8098060624810451
5900,2.7433333333333336,3.2,2.42,-0.729790456383783
5910,2.6966666666666668,2.845,2.37,-0.8093433299710364
5920,3.773333333333333,2.275,1.47,-0.8912411324946583
5940,3.773333333333333,2.275,1.47,-0.8912411324946583
6005,2.986666666666667,2.765,3.675,-1.3786704360092312
6010,3.14,3.355,3.5,-1.186533997991885
6020,2.28,1.785,2.6500000000000004,-1.219316667732878
6040,2.5033333333333334,3.035,3.46,-1.048680341666105
6050,2.821111111111112,2.553333333333333,3.701666666666666,-1.4145990140033102
6100,2.926666666666667,2.25,3.985,-1.6454712150047657
6110,2.926666666666667,2.25,3.985,-1.6454712150047657
6120,3.0,2.3600000000000003,3.77,-1.5670256710905104
6130,2.4933333333333336,3.4250000000000003,4.351666666666667,-1.1402904486097516
6200,3.133333333333333,2.6725,3.6174999999999997,-1.4430348875490981
6210,2.6566666666666667,2.51,3.565,-1.3279535048565807
6220,3.08,2.5625,4.23,-1.6285523497545102
6230,3.3433333333333333,2.77,3.86,-1.538788176583227
6240,2.9483333333333337,2.31125,3.9787500000000007,-1.6511918416619302
6250,2.7666666666666666,3.39,4.199999999999999,-1.2370817146115232
6260,3.6033333333333335,2.915,4.119999999999999,-1.6278426865419864
6300,2.7133333333333334,3.38,4.095000000000001,-1.190068899156445
6310,2.966666666666667,3.205,4.58,-1.4444258958234446
6320,3.3766666666666665,3.1900000000000004,4.630000000000001,-1.589424980893872
6330,2.206666666666667,2.385,3.785,-1.262526131882526
6355,3.633333333333333,2.8,4.455,-1.754558144308603
6360,3.03,2.74,4.165,-1.5273209747401049
6400,2.8016666666666667,2.1925,3.955,-1.6240087693734018
6420,3.1566666666666667,2.65,4.09,-1.583501948586457
6430,2.283333333333333,2.235,4.125,-1.4384611553271365
6440,3.057777777777778,2.5116666666666667,3.7916666666666665,-1.5189203854704063
6460,3.01,2.685,4.165,-1.5409756264187626
6500,2.686666666666667,2.975,3.78,-1.2277812384843307
6515,3.0,2.725,3.85,-1.4442170088525954
