STATEFIP,YEAR,bartik_shock
21,2025,0.004204909059236053
22,1978,0.056861052532699186
22,1979,0.0420389840475372
22,1980,0.011544103264580254
22,1981,0.014152558315326465
22,1982,-0.013876164856099367
22,1983,0.0070582365073275964
22,1984,0.05254058936741961
22,1985,0.03817196560017684
22,1986,0.021559528606636156
22,1987,0.02902930388913296
22,1988,0.03519436399209894
22,1989,0.027825256108649398
22,1990,0.014636855819733383
22,1991,-0.00977541846282818
22,1992,0.002111799982571829
22,1993,0.022627307870320343
22,1994,0.03483146887913484
22,1995,0.026952821132169447
22,1996,0.022706493775586083
22,1997,0.02940653540261769
22,1998,0.025976111559831438
22,1999,0.024097462369997838
22,2000,0.02113110552171518
22,2001,0.003290607664819967
22,2002,-0.007816883751899541
22,2003,-0.0012541422716472704
22,2004,0.014247213210522526
22,2005,0.020907502300061172
22,2006,0.023069428286593984
22,2007,0.01184120104787211
22,2008,-0.007274505388407393
22,2009,-0.04841237310069069
22,2010,-0.006780341604298629
22,2011,0.018239363353789995
22,2012,0.021347727238089365
22,2013,0.017413054305246072
22,2014,0.02148424101418214
22,2015,0.019914201211432607
22,2016,0.01424489287922759
22,2017,0.01629130053069756
22,2018,0.019272778797540826
22,2019,0.012615686063945562
22,2020,-0.04677512792967969
22,2021,0.025329505974714044
22,2022,0.0375497507120727
22,2023,0.021237437771175184
22,2024,0.013000432211781678
22,2025,0.005636929458584405
23,1978,0.05018848680234034
23,1979,0.037406208777309775
23,1980,0.0056226971453975805
23,1981,0.010555892315257342
23,1982,-0.0193548877709071
23,1983,0.010488213600788875
23,1984,0.051455417506495474
23,1985,0.03313518220174244
23,1986,0.023462713133045276
23,1987,0.02892623841787615
23,1988,0.0342819587130235
23,1989,0.026952442098346133
23,1990,0.011614738282584684
23,1991,-0.009800304207017597
23,1992,0.0033723687182628643
23,1993,0.021564408540644415
23,1994,0.03405440430439639
23,1995,0.028494244833948582
23,1996,0.02293822559792198
23,1997,0.02802110323016735
23,1998,0.026802362405446572
23,1999,0.023739258615228957
23,2000,0.019852239536653934
23,2001,6.853397347234111e-05
23,2002,-0.010065272224181493
23,2003,-0.0007053185051095642
23,2004,0.012663697144120975
23,2005,0.018573751701110038
23,2006,0.0187341143880132
23,2007,0.010707043891579246
23,2008,-0.008106687116490763
23,2009,-0.04848859069114735
23,2010,-0.008571190817010597
23,2011,0.015840073308668372
23,2012,0.018895528534650888
23,2013,0.01775373818175312
23,2014,0.020225853732951105
23,2015,0.022919881833258344
23,2016,0.019021959796473146
23,2017,0.01655420288864232
23,2018,0.01655257251055301
23,2019,0.012752497525263194
23,2020,-0.04387314270561142
23,2021,0.026238044793192222
23,2022,0.03533162133530905
23,2023,0.01900817752626065
23,2024,0.011158875989137028
23,2025,0.006193146606143056
24,1978,0.04095903589526558
24,1979,0.03804755544729971
24,1980,0.011766041360892696
24,1981,0.011757038477818872
24,1982,-0.01150434321259935
24,1983,0.013516185926430974
24,1984,0.049800702634176325
24,1985,0.03913602214131755
24,1986,0.027356577207197377
24,1987,0.03062948461858808
24,1988,0.0353029660466615
24,1989,0.02806645269619391
24,1990,0.01471830032618642
24,1991,-0.007659177393616678
24,1992,0.004678131971247925
24,1993,0.024917976412416
24,1994,0.03557878747663349
24,1995,0.02945483548005607
24,1996,0.023480115301592497
24,1997,0.030816696470797916
24,1998,0.030452214737118413
24,1999,0.029563569447133994
24,2000,0.023659054951139114
24,2001,0.003279393296706702
24,2002,-0.0060917744251711295
24,2003,0.000694615047594699
24,2004,0.014097057885721664
24,2005,0.02047890622878032
24,2006,0.020930605413016754
24,2007,0.01288125696382136
24,2008,-0.005159137017144562
24,2009,-0.04368492639702612
24,2010,-0.006070712973326622
24,2011,0.013858817788480433
24,2012,0.01771824359888829
24,2013,0.017742135104412478
24,2014,0.020699573159236328
24,2015,0.02312155047983049
24,2016,0.020370113583032392
24,2017,0.017175802115589892
24,2018,0.01718559386805762
24,2019,0.013314752662985156
24,2020,-0.040886479351381184
24,2021,0.028450472850605764
24,2022,0.03568021466434204
24,2023,0.02006546725323716
24,2024,0.013595737158260613
24,2025,0.0074340370434295535
25,1978,0.05106661978724379
25,1979,0.03894599020717395
25,1980,0.006215542151326008
25,1981,0.012183392820270568
25,1982,-0.01853090510539234
25,1983,0.010534487731742093
25,1984,0.053643041509876546
25,1985,0.033385265113704356
25,1986,0.023276520714472372
25,1987,0.029292567491263136
25,1988,0.0347559943803532
25,1989,0.027944376257065806
25,1990,0.012074140064646856
25,1991,-0.008074094115556766
25,1992,0.004738930814732075
25,1993,0.02228601056508102
25,1994,0.03591984490513469
25,1995,0.030034962093942623
25,1996,0.024549050931599387
25,1997,0.029730732306857136
25,1998,0.0296204201915229
25,1999,0.02601107130867101
25,2000,0.021405661157992896
25,2001,-0.00029988803834907446
25,2002,-0.011743571614903341
25,2003,-7.515618436614621e-06
25,2004,0.013718126605573951
25,2005,0.020490017766800022
25,2006,0.021416510482624867
25,2007,0.011913081316932658
25,2008,-0.0056637786962378
25,2009,-0.04410917692474082
25,2010,-0.005058951064080305
25,2011,0.016159711032387624
25,2012,0.02048825644838044
25,2013,0.018843919504997322
25,2014,0.02004206625732774
25,2015,0.023660151666436424
25,2016,0.02000297523749645
25,2017,0.01697937147699685
25,2018,0.016764106213594927
25,2019,0.014034511219233653
25,2020,-0.041149359244245794
25,2021,0.027623579817583576
25,2022,0.037105114111988934
25,2023,0.019998587495252972
25,2024,0.011757060145632773
25,2025,0.006191186158619339
26,1978,0.056190704929501636
26,1979,0.040067280891844165
26,1980,0.004195808451558168
26,1981,0.011084369950276127
26,1982,-0.019569249247797828
26,1983,0.008906868573087812
26,1984,0.05418494840882561
26,1985,0.03179120727509246
26,1986,0.019045116903083838
26,1987,0.02587494382006178
26,1988,0.03452722794241266
26,1989,0.025871620853683983
